title,score,revenue,year,released
The Vatican Tapes,4.6,1784763,2015,2015-08-07
The Village,6.2,256697520,2004,2004-07-30
The Virgin Suicides,7.1,10409377,1999,2000-05-19
The Visit,6,98450062,2015,2015-09-11
The Vow,7,196114570,2012,2012-02-10
The Wackness,6.2,2899975,2008,2008-08-01
The Walk,6.9,61181942,2015,2015-10-09
The Warrior's Way,6.3,11087569,2010,2010-12-03
The Wash,5.3,10229331,2001,2001-11-14
The Watch,5.3,68267862,2012,2012-07-27
The Waterboy,5.9,185991646,1998,1998-11-06
The Way Way Back,7.1,23198652,2013,2013-07-26
The Weather Man,6,12482775,2005,2005-10-28
The Wedding Date,6.2,47175038,2005,2005-02-04
The Wedding Planner,5.5,94728529,2001,2001-01-26
The Whole Nine Yards,6.2,106371651,2000,2000-02-18
The Whole Ten Yards,5.5,26155781,2004,2004-04-09
The Witch,6.3,40423945,2015,2016-02-19
The Wolf of Wall Street,7.9,392000694,2013,2013-12-25
The Wolverine,6.3,415440673,2013,2013-07-26
The Woman in Black,6.1,127730736,2012,2012-02-03
The Women,4.6,50007546,2008,2008-09-12
The Words,6.4,13231461,2012,2012-09-07
The World Is Not Enough,6,361832400,1999,1999-11-19
The World's End,6.7,46089287,2013,2013-08-23
The Wraith,5.9,3500000,1986,1986-11-21
The Wrestler,7.3,44703995,2008,2009-01-30
The X Files,6.6,189198313,1998,1998-06-19
The X Files: I Want to Believe,5.5,68369434,2008,2008-07-25
The Young Victoria,7,27409889,2009,2010-01-08
There Will Be Blood,7.9,77208711,2007,2008-01-25
There's Something About Mary,6.5,369884651,1998,1998-07-15
They Live,7.1,13008928,1988,1988-11-04
Things to Do in Denver When You're Dead,6.7,529766,1995,1995-12-01
Things We Lost in the Fire,6.7,2849142,2007,2007-10-19
Think Like a Man,6.9,96070507,2012,2012-04-20
Thirteen,6.7,4601043,2003,2003-09-19
Thirteen Days,6.9,34566746,2000,2001-01-12
This Is 40,5.6,88058786,2012,2012-12-21
This Is the End,6.3,126041322,2013,2013-06-12
This Is Where I Leave You,6.5,41296320,2014,2014-09-19
This Means War,5.9,156974557,2012,2012-02-17
Thor,6.6,449326618,2011,2011-05-06
Thor: The Dark World,6.8,644571402,2013,2013-11-08
Three Kings,6.6,108000000,1999,1999-10-01
Thunderbirds,4.2,28283637,2004,2004-07-30
Timeline,5.4,19480739,2003,2003-11-26
Tin Cup,5.9,53854588,1996,1996-08-16
Titan A.E.,6.3,36754634,2000,2000-06-16
Titanic,7.5,1845034188,1997,1997-12-19
To Die For,6.7,21284514,1995,1995-10-06
Tombstone,7.4,56505065,1993,1993-12-25
Tomcats,4.9,23430766,2001,2001-03-30
Tomorrow Never Dies,6,333011068,1997,1997-12-19
Tomorrowland,6.2,209154322,2015,2015-05-22
Top Gun,6.7,356830601,1986,1986-05-16
Torque,4.7,46546197,2004,2004-01-16
Total Recall,7.1,261317921,2012,2012-08-03
Tower Heist,5.8,152930623,2011,2011-11-04
Toy Story,7.7,373554033,1995,1995-11-22
Toy Story 2,7.3,497366869,1999,1999-11-24
Toy Story 3,7.6,1066969703,2010,2010-06-18
Traffic,6.9,207515725,2000,2001-01-05
Training Day,7.3,104876233,2001,2001-10-05
Trainspotting,7.8,16491080,1996,1996-08-09
Trance,6.5,24261569,2013,2013-05-03
Transamerica,6.9,13350369,2005,2006-03-03
Transcendence,5.9,103039258,2014,2014-04-18
Transformers,6.6,709709780,2007,2007-07-03
Transformers: Age of Extinction,5.8,1091405097,2014,2014-06-27
Transformers: Dark of the Moon,6.1,1123746996,2011,2011-06-29
Transformers: Revenge of the Fallen,6,836297228,2009,2009-06-24
Transporter 2,6.2,85167639,2005,2005-09-02
Transsiberian,6.5,5926410,2008,2008-09-05
Treasure Planet,7.2,109578115,2002,2002-11-27
Tremors,6.6,48572000,1990,1990-01-19
Triple 9,5.6,12639297,2016,2016-02-26
TRON: Legacy,6.3,400062763,2010,2010-12-17
Tropic Thunder,6.5,188072649,2008,2008-08-13
Troy,6.9,497409852,2004,2004-05-14
True Grit,7.2,252276927,2010,2010-12-22
True Lies,6.8,378882411,1994,1994-07-15
True Romance,7.5,12281551,1993,1993-09-10
Trust,6.6,120000,1990,1991-09-20
Trust,6.6,120000,2010,2012-03-09
Tsotsi,6.9,9879971,2005,2006-03-31
Tumbleweeds,6.2,1281176,1999,2000-03-03
Turbo,6.1,282570682,2013,2013-07-17
Turbulence,5.2,11466088,1997,1997-01-10
Tusk,5.1,1826705,2014,2014-09-19
Twilight,5.8,392616625,1998,1998-03-06
Twilight,5.8,392616625,2008,2008-11-21
Twins,5.7,216614388,1988,1988-12-09
Twister,6.1,494471524,1996,1996-05-10
Two Girls and a Guy,5.4,2057193,1997,1998-04-24
Two Lovers,6.6,3148182,2008,2009-03-20
Two Weeks Notice,5.9,93354918,2002,2002-12-20
Ultraviolet,4.8,31070211,2006,2006-03-03
Unbreakable,6.9,248118121,2000,2000-11-22
Unbroken,7.3,163442937,2014,2014-12-25
Under Siege 2: Dark Territory,5.6,104324083,1995,1995-07-14
Under the Skin,6,5380251,2013,2014-03-14
Undercover Brother,5.5,41604473,2002,2002-05-31
Underworld,6.6,95708457,2003,2003-09-19
Underworld: Evolution,6.4,111340801,2006,2006-01-20
Underworld: Rise of the Lycans,6.2,91353501,2009,2009-01-23
Undisputed,6.1,12398628,2002,2002-08-23
Unfaithful,6.3,119137784,2002,2002-05-10
Unfinished Business,5,14431253,2015,2015-03-06
Unforgiven,7.7,159157447,1992,1992-08-07
Unfriended,5.5,62882090,2014,2015-04-17
United 93,6.9,76286096,2006,2006-04-28
Universal Soldier: The Return,4.2,10667893,1999,1999-08-20
Unknown,6.5,130786397,2011,2011-02-18
Unleashed,6.6,50871113,2005,2005-05-13
Unstoppable,6.3,167805466,2010,2010-11-12
Untraceable,5.9,32483410,2008,2008-01-25
Up,7.7,735099082,2009,2009-05-29
Up in the Air,6.7,163670000,2009,2009-12-23
Urban Legend,5.6,72527595,1998,1998-09-25
V for Vendetta,7.7,132511035,2005,2006-03-17
Vacation,6.2,104384188,2015,2015-07-29
Valentine's Day,5.7,216485654,2010,2010-02-12
Valiant,5.2,19478106,2005,2005-08-19
Valkyrie,6.7,200276000,2008,2008-12-25
Vampire in Brooklyn,4.5,19800000,1995,1995-10-27
Vampires Suck,4.2,80547866,2010,2010-08-18
Vanilla Sky,6.5,203388341,2001,2001-12-14
Vanity Fair,5.5,16123851,2004,2004-09-01
Vantage Point,6.2,151161491,2008,2008-02-22
Veronica Guerin,6.8,1569918,2003,2003-10-17
Vertical Limit,5.9,215663859,2000,2000-12-08
Very Bad Things,6.2,9898412,1998,1998-11-25
Vicky Cristina Barcelona,6.7,96408652,2008,2008-08-15
Victor Frankenstein,5.6,34227298,2015,2015-11-25
Virtuosity,5.4,24048000,1995,1995-08-04
W.,6.1,29506464,2008,2008-10-17
Wag the Dog,6.7,64256513,1997,1998-01-09
Waiting...,6.2,18637690,2005,2005-10-07
Waitress,6.7,22179430,2007,2007-05-25
Walk Hard: The Dewey Cox Story,6.6,18317151,2007,2007-12-21
Walk the Line,7.3,186438883,2005,2005-11-18
Walking Tall,6,57223890,2004,2004-04-02
Wall Street,7,43848069,1987,1987-12-11
Wall Street: Money Never Sleeps,5.8,134748021,2010,2010-09-24
WALL·E,7.8,521311860,2008,2008-06-27
Waltz with Bashir,7.8,11125849,2008,2009-07-15
Wanted,6.4,258270008,2008,2008-06-27
War,6,40452643,2007,2007-08-24
War Horse,7,177584879,2011,2011-12-25
War of the Worlds,6.2,591739379,2005,2005-06-29
Warm Bodies,6.4,116980662,2013,2013-02-01
Warrior,7.7,23057115,2011,2011-09-09
Watchmen,7,185258983,2009,2009-03-06
Water for Elephants,6.7,114156230,2011,2011-04-22
Waterworld,5.9,264218220,1995,1995-07-28
Wayne's World,6.5,121697323,1992,1992-02-14
We Are Marshall,6.7,43545364,2006,2006-12-22
We Are Your Friends,6.3,11122090,2015,2015-08-28
We Bought a Zoo,6.5,120081841,2011,2011-12-23
We Need to Talk About Kevin,7.4,6038942,2011,2012-01-13
We Own the Night,6.5,54926886,2007,2007-10-12
We Were Soldiers,6.7,114660784,2002,2002-03-01
We're the Millers,6.8,269994119,2013,2013-08-07
What Dreams May Come,6.8,71485043,1998,1998-10-02
What Happens in Vegas,5.8,170000000,2008,2008-05-09
What Just Happened,5.2,6673422,2008,2008-10-31
What Lies Beneath,6.3,155464351,2000,2000-07-21
What to Expect When You're Expecting,5.8,79700000,2012,2012-05-18
What Women Want,6.1,374111707,2000,2000-12-15
What's Eating Gilbert Grape,7.5,30000000,1993,1994-03-04
What's Your Number?,6.2,30426096,2011,2011-09-30
Whatever Works,6.8,35097815,2009,2009-07-03
When a Stranger Calls,5.4,66966987,2006,2006-02-03
When Harry Met Sally...,7.3,92823546,1989,1989-07-21
When the Game Stands Tall,6.3,30127963,2014,2014-08-22
Where the Heart Is,6.9,33771174,2000,2000-04-28
While We're Young,5.8,7587485,2014,2015-04-17
Whip It,6.7,16633035,2009,2009-10-02
Whiplash,8.3,13092000,2014,2015-01-23
White Chicks,6.3,113086475,2004,2004-06-23
White Fang,6.5,34793160,1991,1991-01-18
White House Down,6.4,205366737,2013,2013-06-28
White Noise,5.6,91196419,2005,2005-01-07
White Squall,6.3,10300000,1996,1996-02-02
Whiteout,5.3,12206028,2009,2009-09-11
Wicker Park,6.7,13001257,2004,2004-09-03
Wild,7,52501541,2014,2014-12-19
Wild Target,6.4,3453043,2010,2010-06-18
Wild Things,6.3,67200000,1998,1998-03-20
Wild Wild West,5.1,222104681,1999,1999-06-30
Wimbledon,6,41512007,2004,2004-09-17
Win a Date with Tad Hamilton!,5.5,16980098,2004,2004-01-23
Windtalkers,5.8,77628265,2002,2002-06-14
Winnie the Pooh,6.8,14460000,2011,2011-07-15
Winter Passing,6.7,113783,2005,2006-06-15
Winter's Bone,6.8,13831503,2010,2010-07-16
Winter's Tale,6,30800231,2014,2014-02-14
Wish I Was Here,6.4,5483299,2014,2014-07-25
Without a Paddle,5.3,69631118,2004,2004-08-20
Without Limits,6.2,777423,1998,1998-09-11
Woman in Gold,7.3,61619773,2015,2015-04-10
Wonderland,6.2,2466444,2003,2003-10-24
Woo,5.5,8026971,1998,1998-05-08
World Trade Center,5.9,162945894,2006,2006-08-09
World War Z,6.7,531865000,2013,2013-06-21
Wreck-It Ralph,7.1,471222889,2012,2012-11-02
Wrong Turn,6,28650575,2003,2003-05-30
Wyatt Earp,6.5,25052000,1994,1994-06-24
X-Men,6.8,296339527,2000,2000-07-14
X-Men Origins: Wolverine,6.2,373062864,2009,2009-05-01
X-Men: Apocalypse,6.4,543934787,2016,2016-05-27
X-Men: Days of Future Past,7.5,747862775,2014,2014-05-23
X-Men: First Class,7.1,353624124,2011,2011-06-03
xXx,5.8,277448382,2002,2002-08-09
xXx: State of the Union,4.7,71073932,2005,2005-04-29
Y Tu Mamá También,7.3,33616692,2001,2002-04-26
Year One,4.6,62357900,2009,2009-06-19
Yes Man,6.4,225990978,2008,2008-12-19
Yogi Bear,5.2,201584141,2010,2010-12-17
You Again,6,32005248,2010,2010-09-24
You Don't Mess with the Zohan,5.5,201596308,2008,2008-06-06
You've Got Mail,6.3,250821495,1998,1998-12-18
"You, Me and Dupree",5.4,130431368,2006,2006-07-14
Young Adult,5.6,22939027,2011,2011-12-16
Young Guns,6.6,44726644,1988,1988-08-12
Your Highness,5.2,26121638,2011,2011-04-08
Zack and Miri Make a Porno,6.1,42105111,2008,2008-10-31
Zathura: A Space Adventure,6.1,64321501,2005,2005-11-11
Zero Dark Thirty,6.7,132820716,2012,2013-01-11
Zero Effect,6,1980338,1998,1998-01-30
Zodiac,7.3,84785914,2007,2007-03-02
Zombieland,7.2,102391382,2009,2009-10-02
Zookeeper,5.3,169852759,2011,2011-07-08
Zoolander,6.1,60780981,2001,2001-09-28
Zoolander 2,4.7,55969000,2016,2016-02-12
Zoom,4.9,12506188,2006,2006-08-11
Æon Flux,5.4,52304001,2005,2005-12-02
